Week no.,WK 42,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,13/07/19,,14/07/19,,15/07/19,,16/07/19,,17/07/19,,18/07/19,,19/07/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,,19/07/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delist 04/07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,1100,1016,2800,3172,2000,1072,2500,2144,2500,2532,1800,944,1600,1376,,,,12488,12256,13923,3064,1016,3172,1072,2144,2532,944,1376,,1376,,,,,,,,4,254,793,268,536,633,236,344,3064,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,2500,1912,5300,8024,4500,3096,5000,5200,5500,5456,5500,2288,4000,4040,,,,29952,30016,30000,3752,1912,8024,3096,5200,5456,2288,4040,,4040,,,,,MISSING,MISSING,,8,239,1003,387,650,682,286,505,3752,OK,,#N/A
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,2500,1640,5500,6656,4000,3152,5000,4536,5500,5528,3500,2192,3500,3016,,,,28688,26720,27398,3340,1640,6656,3152,4536,5528,2192,3016,,3016,,,,,MISSING,MISSING,,8,205,832,394,567,691,274,377,3340,OK,,22708
50422416,23355,Asda,AS Crunchy Tuna & Salad Sub Roll x 4,Asda,P+3,Alternative,600,584,1300,1256,900,348,1000,868,1000,748,700,400,600,368,,,,5352,4572,5325,1143,584,1256,348,868,748,400,368,,368,,,,,MISSING,MISSING,,4,146,314,87,217,187,100,92,1143,OK,,23355
50422414,23356,Asda,AS Ham & Cheese Sub Roll x 4,Asda,P+3,Alternative,750,640,1300,1676,950,636,1000,1164,1200,1128,900,536,800,468,,,,6008,6248,6400,1562,640,1676,636,1164,1128,536,468,,468,,,,,MISSING,MISSING,,4,160,419,159,291,282,134,117,1562,OK,,23356
50422415,23357,Asda,AS Chicken & Bacon Caesar Sub Roll x 4,Asda,P+3,Alternative,450,316,700,548,600,352,600,432,800,492,500,448,500,244,,,,3052,2832,3400,708,316,548,352,432,492,448,244,,244,,,,,MISSING,MISSING,,4,79,137,88,108,123,112,61,708,OK,,23357
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,550,456,1000,864,900,608,1000,952,1200,840,1100,900,850,488,,,,5384,5108,5650,1277,456,864,608,952,840,900,488,,488,,,,,MISSING,MISSING,,4,114,216,152,238,210,225,122,1277,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,1800,744,4000,4488,2000,1992,3000,2850,3500,3462,2500,930,2400,1782,,,,18660,16248,17250,2708,744,4488,1992,2850,3462,930,1782,,1782,,,,,MISSING,MISSING,,6,124,748,332,475,577,155,297,2708,OK,,23871
delist 06/08,23606,Asda,AS 16-PIECE WRAP PLATTER,Asda,P+3,Alternative,200,368,300,302,500,224,500,320,700,458,800,436,900,446,,,,2174,2554,6000,1277,368,302,224,320,458,436,446,,446,,,,,MISSING,MISSING,,2,184,151,112,160,229,218,223,1277,OK,,23606
delist 19/07,23753,Asda Café,ASC Cheese Savoury Stack x4,Asda,P+4,Alternative,300,268,330,316,320,280,220,256,350,296,280,268,320,276,,,,2060,1960,2092,490,268,316,280,256,296,268,276,,276,,,,,MISSING,MISSING,,4,67,79,70,64,74,67,69,490,OK,,23753
delist 19/07,23754,Asda Café,"ASC Chicken, Stuffing & Bacon Stack x4",Asda,P+4,Alternative,300,244,300,288,330,312,200,200,350,296,280,268,320,248,,,,1928,1856,1836,464,244,288,312,200,296,268,248,,248,,,,,MISSING,MISSING,,4,61,72,78,50,74,67,62,464,OK,,23754
delist 19/07,23755,Asda Café,"ASC Ham, Cheese & Pickle Stack x4",Asda,P+4,Alternative,300,300,350,304,350,308,200,224,350,312,280,272,320,280,,,,2016,2000,2114,500,300,304,308,224,312,272,280,,280,,,,,MISSING,MISSING,,4,75,76,77,56,78,68,70,500,OK,,23755
delist 19/07,23756,Asda Café,ASC Chicken & Bacon Caesar Wrap x4,Asda,P+4,Alternative,120,120,180,132,180,136,100,100,180,176,110,152,160,128,,,,1008,944,930,236,120,132,136,100,176,152,128,,128,,,,,MISSING,MISSING,,4,30,33,34,25,44,38,32,236,OK,,23756
