,0,sku #,Customer,Sku Name,Date,Forecast,Actual
0,,,,,11/12/2021,11/12/2021,11/12/2021
1,9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,11/12/2021,,1892
2,50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,11/12/2021,,6240
3,50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,11/12/2021,,4576
4,50535479,23870,Asda,AS Chicken Fajita Wrap x4,11/12/2021,,1232
5,50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,11/12/2021,,4356
6,50779457,24806,Asda Café,ASC Tuna Melt Panini x4,11/12/2021,,
7,50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,11/12/2021,,
8,50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,11/12/2021,,
9,50779462,24811,Asda Café,ASC ADB Topped Toastie x4,11/12/2021,,
10,50773032,24821,Asda Café,ASC Cheeseboard Toastie,11/12/2021,,
11,50027363,26311,Asda Café,ASC Turkey Feast Toastie,11/12/2021,,
12,6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,11/12/2021,,
13,6251,19489,Co-op,Co-op Aromatic Duck Wrap,11/12/2021,,
14,6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,11/12/2021,,
15,6253,19491,Co-op,Co-op Falafel Wrap,11/12/2021,,
16,6747,27443,Co-op,COOP HAM & CHEESE SUB ROLL,11/12/2021,,
17,6748,27445,Co-op,COOP TUNA CRUNCH SUB ROLL,11/12/2021,,
18,4458,17104,Co-op,Co-op Southern Fried Chicken Wrap x4,11/12/2021,,
19,4448,17105,Co-op,Co-op Chicken & Bacon Caesar Wrap x4,11/12/2021,,
20,4413,19743,Co-op,Co-op Falafel Wrap x 4,11/12/2021,,
21,4447,19783,Co-op,Co-op Aromatic Duck Wrap x4,11/12/2021,,
22,,27444,Co-op,COOP HAM & CHEESE SUB ROLL x 4,11/12/2021,,
23,,27446,Co-op,COOP TUNA CRUNCH SUB ROLL x 4,11/12/2021,,
24,,17791,Co-op,COOP TI NEW YORK DELI GRAB BAG x4,11/12/2021,,
25,,20161,Co-op,COOP HAM & MUSTARD x4,11/12/2021,,
26,6390,22341,Co-op,CO-OP HAM & CHEESE PANINI,11/12/2021,,
27,6393,22844,Co-op,CO-OP All Day Breakfast Hot Wrap,11/12/2021,,
28,6338,25007,Co-op,Co-op Sausage & Egg Breakfast Muffin,11/12/2021,,
29,,19463,Co-op,COOP HAM & CHEESE,11/12/2021,,
