Week no.,WK20,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,05/02/22,,06/02/22,,07/02/22,,08/02/22,,09/02/22,,10/02/22,,11/02/22,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,,11/02/2022,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
0,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,Asda,P+3,Wrap,2853,2456,3617,3204,3541,2924,3548,2448,3602,3332,2989,3372,2491,2604,,,,21100,20340,16368,5085,2456,3204,2924,2448,3332,3372,2604,,2604,,,,,,,,4,614,801,731,612,833,843,651,5085,OK,,20371
50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,Asda,P+3,Skillet,5638,6920,7149,8064,6999,6496,7012,7912,7119,7264,5907,6528,4922,5816,,,,44408,49000,36630,6125,6920,8064,6496,7912,7264,6528,5816,,5816,,,,,MISSING,MISSING,,8,865,1008,812,989,908,816,727,6125,OK,,22592
50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,Asda,P+3,Wrap,5397,4496,6842,6224,6698,5664,6712,5832,6814,6304,5653,6200,4711,4592,,,,41880,39312,38185,4914,4496,6224,5664,5832,6304,6200,4592,,4592,,,,,MISSING,MISSING,,8,562,778,708,729,788,775,574,4914,OK,,22708
50535479,23870,Asda,AS Chicken Fajita Wrap x4,Asda,P+3,Wrap,1227,1300,1556,1492,1524,1380,1527,1508,1550,1496,1286,1568,1072,1172,,,,9416,9916,9195,2479,1300,1492,1380,1508,1496,1568,1172,,1172,,,,,MISSING,MISSING,,4,325,373,345,377,374,392,293,2479,OK,,23870
50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,Asda,P+3,Wrap,4278,4872,5423,5226,5310,4890,5320,4686,5401,4974,4481,5412,3735,4632,,,,32868,34692,37338,5782,4872,5226,4890,4686,4974,5412,4632,,4632,,,,,MISSING,MISSING,,6,812,871,815,781,829,902,772,5782,OK,,23871
50779457,24806,Asda Café,ASC Tuna Melt Panini x4,Asda,P+7,Alternative,,0,,0,1468,1368,481,552,182,164,744,816,231,284,,,,3152,3184,2626,796,0,0,1368,552,164,816,284,,284,,,,,MISSING,MISSING,,4,0,0,342,138,41,204,71,796,OK,,#N/A
50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,Asda,P+7,Alternative,,0,,0,1408,1412,457,588,158,188,708,824,198,296,,,,2968,3308,2846,827,0,0,1412,588,188,824,296,,296,,,,,MISSING,MISSING,,4,0,0,353,147,47,206,74,827,OK,,#N/A
50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,Asda,P+7,Alternative,,0,,0,1849,1772,534,708,235,220,906,1088,255,368,,,,3792,4156,3205,1039,0,0,1772,708,220,1088,368,,368,,,,,MISSING,MISSING,,4,0,0,443,177,55,272,92,1039,OK,,#N/A
50779462,24811,Asda Café,ASC ADB Topped Toastie x4,Asda,P+7,Alternative,,0,,0,1028,,392,,93,112,534,636,174,200,,,,2240,948,1984,237,0,0,0,0,112,636,200,,200,,,,,MISSING,MISSING,,4,0,0,0,0,28,159,50,237,OK,,#N/A
50773032,24821,Asda Café,ASC Cheeseboard Toastie,Asda,P+7,Alternative,,0,,0,218,252,97,108,28,44,121,156,20,40,,,,680,600,2546,150,0,0,252,108,44,156,40,,40,,,,,MISSING,MISSING,,4,0,0,63,27,11,39,10,150,OK,,#N/A
50027363,26311,Asda Café,ASC Turkey Feast Toastie,Asda,P+7,Alternative,,0,,0,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK,,#N/A
